,track_name,artist_name,album_name
0,No Church In The Wild,JAY-Z,Watch The Throne
1,Ni**as In Paris,JAY-Z,Watch The Throne
2,Otis,JAY-Z,Watch The Throne
3,Why I Love You,JAY-Z,Watch The Throne
4,Made In America,JAY-Z,Watch The Throne
5,Murder To Excellence,JAY-Z,Watch The Throne
6,Primetime,JAY-Z,Watch The Throne
7,Welcome To The Jungle,JAY-Z,Watch The Throne
8,Lift Off,JAY-Z,Watch The Throne
9,Gotta Have It,JAY-Z,Watch The Throne
10,New Day,JAY-Z,Watch The Throne
11,That's My Bitch,JAY-Z,Watch The Throne
12,Who Gon Stop Me,JAY-Z,Watch The Throne
13,Illest Motherf**ker Alive,JAY-Z,Watch The Throne
14,The Joy,JAY-Z,Watch The Throne
15,Dirt off Your Shoulder / Lying From You,Kanye West,Watch The Throne
16,Big Pimpin' / Papercut,Kanye West,Watch The Throne
17,Jigga What / Faint,Kanye West,Watch The Throne
18,Numb / Encore,Kanye West,Watch The Throne
19,Izzo / In the End,Kanye West,Watch The Throne
20,Points of Authority / 99 Problems / One Step Closer,Kanye West,Watch The Throne
21,Renegade,Kanye West,Watch The Throne
22,This Can't Be Life,Kanye West,Watch The Throne
23,Streets Is Watching - Scarface Soundtrack,Kanye West,Watch The Throne
24,Numb / Encore,Kanye West,Watch The Throne
25,Streets Is Watching - Scarface Soundtrack,Kanye West,Watch The Throne
26,This Can't Be Life,Kanye West,Watch The Throne
27,Renegade,Kanye West,Watch The Throne
28,Numb / Encore,Kanye West,Watch The Throne
29,Bonus Beat,Kanye West,Watch The Throne
30,Numb / Encore - A Cappella,Kanye West,Watch The Throne
31,8 Miles And Runnin',JAY-Z,8 Mile (Music From And Inspired By The Motion Picture)
32,8 Miles And Runnin' - Soundtrack Version,JAY-Z,8 Mile (Music From And Inspired By The Motion Picture)
33,Kill Jay Z,JAY-Z,4:44
34,The Story of O.J.,JAY-Z,4:44
35,Smile,JAY-Z,4:44
36,Caught Their Eyes,JAY-Z,4:44
37,4:44,JAY-Z,4:44
38,Family Feud,JAY-Z,4:44
39,Bam,JAY-Z,4:44
40,Moonlight,JAY-Z,4:44
